class;aa_000;ae_000;af_000;ag_000;ag_001;ag_002;ag_003;ag_004;ag_005;ag_006;ag_007;ag_008;ag_009;ah_000;ai_000;aj_000;al_000;am_0;an_000;ao_000;ap_000;aq_000;ar_000;as_000;at_000;au_000;av_000;ax_000;ay_000;ay_001;ay_002;ay_003;ay_004;ay_005;ay_006;ay_007;ay_008;ay_009;az_000;az_001;az_002;az_003;az_004;az_005;az_006;az_007;az_008;az_009;ba_000;ba_001;ba_002;ba_003;ba_004;ba_005;ba_006;ba_007;ba_008;ba_009;bb_000;bc_000;bd_000;be_000;bf_000;bg_000;bh_000;bi_000;bj_000;dl_000;dm_000;dn_000;do_000;dp_000;dq_000;dr_000;ds_000;dt_000;du_000;dv_000;dx_000;dy_000;dz_000;ea_000;eb_000;ee_000;ee_001;ee_002;ee_003;ee_004;ee_005;ee_006;ee_007;ee_008;ee_009;ef_000;eg_000
neg;45912;0;0;0;0;0;0;2106;418940;2217344;767508;61590;1978;1434684;0;0;0;0;3122760;2717156;818124;330626;0;0;0;0;0;0;0;0;0;0;0;97332;2209356;1008624;154154;0;2730;974;1598;208126;2616324;639690;24;0;0;0;1461664;714592;273092;251694;192692;109796;152088;313848;0;0;3941672;0;0;0;0;1434684;39458;521084;294150;0;0;22910;0;0;0;0;0;0;0;0;0;0;0;0;0;641468;694878;495400;278660;544710;438256;249386;73356;51344;2008;0;0
neg;2104;0;0;0;0;9744;13148;98310;22210;1336;0;0;0;59062;0;0;15238;24218;109858;108074;38530;7392;0;0;0;0;200;114;0;0;0;0;0;0;0;12260;132488;0;1122;104;170;422;14502;128428;0;0;0;0;37860;30084;20616;13598;18688;14228;6174;2628;780;92;163728;30;34;18;0;59062;1418;12002;26016;0;0;1216;206;24;0;0;1888;382;500;86;0;0;0;0;1100350;41704;15418;4776;2330;4634;6534;29980;39372;0;0;0;0
neg;118950;0;0;0;0;0;0;40932;1657660;4867618;2000614;147598;11790;3466260;0;0;0;0;7555358;6274612;2191992;1077566;0;0;0;0;5480;934;0;0;0;0;0;39286;3493752;4841182;351992;0;15316;25194;47684;307864;6201838;2121586;6730;0;0;0;3371364;1866484;721710;500104;388618;389252;805278;682752;650;0;9745646;168;596;6028;100;3466260;101674;1317460;857616;0;0;65096;251192;64842;0;0;110678;24816;72880120;7679250;6340778;24392;0;0;2740890;1236230;1432054;1677646;1380302;2531322;426284;17996;11734;12506;138;0;0
neg;24416;0;0;0;0;0;0;556;448484;887798;128906;2188;0;716912;0;64;0;0;1388178;1296724;145126;65574;0;0;0;0;0;0;0;0;0;0;0;3472;317156;427416;719888;0;3050;1256;954;990;223308;1238362;8;4;0;0;540106;277452;178208;129534;96068;79586;95176;71802;0;0;1533608;56;320;416;146;716912;11766;70222;74334;0;0;6264;24720;4746;0;0;54524;8174;2173160;483828;0;0;0;0;1074940;163678;199404;190606;95674;207476;232470;154962;99406;121544;2712;0;0
neg;14;0;0;0;0;0;0;6;4256;2250;0;0;0;2182;0;0;0;0;7270;3692;51606;1222;0;0;0;0;50;22;0;0;0;0;0;0;0;0;6512;0;240;28;48;594;556;2000;3046;0;0;0;5002;448;176;164;124;60;448;68;6;16;58910;2;6;2;0;2182;178;48476;3048;0;0;204;0;0;2396;796;30;26;7000;698;44208;12;0;0;0;4524;1580;248;42;48;28;32;10;0;0;0;0
neg;31300;0;0;0;0;0;20386;847078;2404100;2645236;2415620;1957818;459032;4730560;0;0;38582;60878;10050600;9473796;2022538;530234;0;0;0;0;1736;1164;0;0;0;0;0;0;0;1958836;8790434;0;10364;2952;3596;1435896;1136152;7914616;234256;11438;0;0;6776298;2165810;659492;404564;322062;230824;116654;64192;9168;206;12111862;254;226;444;0;4730560;293792;349952;1671484;0;0;82844;352;84;7345640;1436010;425200;113400;12920;9218;11752100;4112;0;0;0;5895398;3849254;798872;112724;51736;7054;6628;27600;2;2;0;0
neg;736;16;20;0;0;0;1144;39526;13380;4988;0;0;0;17644;0;0;3192;5474;54700;51844;20896;1346;0;0;0;0;70;44;0;0;0;0;0;0;0;2046;56992;0;286;172;318;2322;2524;49788;3258;370;0;0;31028;9768;11040;2792;1428;978;570;672;304;458;78850;36;0;4;0;17644;502;11100;9572;0;0;658;0;12;17022;2030;598;118;84100;8408;38320;136;0;0;0;24470;4084;1370;812;2488;2340;2566;20870;38;0;0;0
neg;332;0;0;0;0;0;0;82;8182;19242;610;0;0;11362;0;0;0;0;29762;24726;8792;2626;0;0;0;0;124;56;0;0;0;0;0;0;26714;1402;0;0;60;14;30;36;128;27822;26;0;0;0;16062;8552;2674;658;140;30;0;0;0;0;38566;0;70;4;0;11362;432;4128;4636;0;0;318;54;54;0;0;668;122;342460;34186;0;0;0;0;0;7248;6652;1260;296;878;11774;8;0;0;0;0;0
neg;1432;0;0;0;0;0;0;78;17784;71682;266;0;0;40250;0;58;0;0;86972;78750;15174;5064;0;0;0;0;188;54;0;0;0;0;0;0;53574;36236;0;0;114;22;32;40;4350;85252;0;0;0;0;31154;42200;11532;4516;366;32;10;0;0;0;102164;2;60;136;0;40250;856;7666;7430;0;0;474;6;12;0;0;756;222;449440;44950;0;0;0;0;431210;15218;10750;2714;1480;4822;53694;1116;16;0;0;0;0
neg;41212;104;172;0;0;0;0;9268;1343962;881214;81244;3876;0;1027430;0;32;0;0;2166316;1929602;679632;169490;0;0;3850;0;148;628;0;0;0;0;0;0;22990;796396;1500178;0;1602;1200;1992;5188;47486;175800;2086290;6;0;0;724890;783694;245928;138998;93056;74112;63832;96376;51000;47678;2846732;754;3128;6292;2;1027430;27030;499604;178442;0;0;14900;8576;3004;4985196;628460;62386;11574;12170880;1216948;2745760;12524;0;0;1212960;265986;285848;171390;95844;177206;173184;404690;736142;9268;6;0;0
neg;14;0;0;0;0;0;0;66;184;4352;936;0;0;2498;0;0;0;0;6480;4710;3606;690;0;0;0;0;6;4;0;0;0;0;0;0;5538;0;0;0;54;8;18;38;1518;3902;0;0;0;0;4796;556;92;22;12;6;52;2;0;0;10102;0;6;8;0;2498;168;1742;1844;0;0;108;0;0;0;0;96;28;6400;664;10204;16;0;0;0;2662;2796;80;0;0;0;0;0;0;0;0;0
neg;157128;0;0;0;0;0;0;26568;3360374;6199744;1974092;148888;2568;5287200;0;0;0;0;10527330;8931492;3261454;1397344;0;0;0;0;630;416;0;0;0;0;0;0;8248804;3463422;4;0;7014;2232;2508;4608;388200;11302650;5010;8;0;0;4218518;2301548;1004748;776626;629238;661974;1989730;129848;0;0;13790072;0;176;200;314;5287200;177860;2374640;884700;0;0;90426;191350;67358;0;0;379428;72846;36430720;4985876;0;0;0;0;0;2014620;2786832;1784108;683976;1228736;971366;838200;559330;826630;18434;0;0
pos;453236;0;0;0;0;222;323436;2999280;20657518;12530224;913700;12670;0;18489312;19038;0;117902;203782;32633282;28658284;5348896;3667892;0;0;0;0;24514;1858;2273870;2608460;1424956;1607946;1409344;2051868;2227058;8113476;15720072;0;28828;33264;47402;627172;26128758;10570790;804;22;8;2;12630142;9040546;7110184;4970218;2616558;886208;160242;22100;842;10;38100406;632;1686;2018;684;18489312;447850;2507262;2827898;0;0;260830;169964;26740;73289586;16623244;1056682;155406;93686740;28423762;7966;382610;0;0;432739640;4079752;13176956;7908038;3026002;5025350;2025766;1160638;533834;493800;6914;0;0
neg;58246;0;0;0;0;0;0;127148;1596382;2025598;439544;17478;0;1706406;0;0;0;0;3955522;3494750;661354;355020;0;0;0;0;4258;1194;0;0;0;0;0;70130;1951726;1563402;620892;0;6732;1600;1660;42864;2301308;1833822;18108;24;28;4;1432138;1063884;439474;314282;265580;287004;346204;57584;0;0;4618048;0;58;238;80;1706406;52590;395144;264342;0;0;29258;59414;22796;0;0;122554;30178;11254060;1130134;0;0;0;0;19102180;680612;964462;670578;293816;464286;336782;229078;163348;372036;31152;0;0
neg;29394;0;0;0;0;0;0;952;334198;1361836;333768;9048;0;1002966;0;0;0;0;1672756;1344348;629428;277928;0;0;0;0;0;0;0;0;0;0;0;0;178242;557374;1304186;0;4078;1590;3298;59174;1378226;593434;2;0;0;0;916300;302250;147450;97354;72092;75754;152262;176998;82824;16518;2302530;24;1076;1152;76;1002966;42994;380204;243438;0;0;24620;31808;6712;0;0;105078;20818;2232780;343214;0;36400;0;0;28394360;342610;297876;234998;136388;470258;548540;8384;524;208;16;0;0
neg;8690;0;0;0;0;0;0;602;173208;440508;60548;0;0;312268;0;64;0;0;650322;579090;234192;50492;0;0;0;0;326;632;0;0;0;0;0;13022;505600;52100;104144;0;2328;200;338;6200;414724;251036;40;0;0;0;340832;134070;54256;38100;37632;69796;180;0;0;0;884668;0;444;12;0;312268;9886;174126;59730;0;0;4988;3294;1124;0;0;14540;2646;293100;89072;0;0;0;0;0;125716;163752;52700;28890;55588;85370;140892;10658;10944;356;0;0
neg;46978;0;0;0;0;0;0;55002;1274996;1548098;323708;21758;3870;1453404;0;0;88;590;2909100;2487234;747310;339634;0;0;0;0;720;248;0;0;0;0;0;146838;1764548;533792;782254;0;2822;1248;2318;57666;2165686;995852;1840;0;0;0;1008560;776104;388798;246218;193548;192438;297124;124642;0;0;3657128;466;834;920;24;1453404;39262;469444;268550;0;0;23428;39110;8072;0;0;86652;21046;19420;3780;0;0;0;0;45978820;515432;520552;407008;221836;534336;606554;325542;89624;6538;10;0;0
neg;1870;0;0;0;0;0;0;140;68816;42816;0;0;0;35354;0;0;0;0;103758;96110;16470;4532;0;0;0;0;0;0;0;0;0;0;0;1856;75914;7718;26284;0;1008;66;48;92;84;108306;2168;0;0;0;58320;38386;9574;3932;864;266;428;2;0;0;120258;24;250;86;6;35354;972;7376;9028;na;na;500;1288;330;0;0;3330;574;575220;75946;0;0;0;0;na;12252;11344;7688;5050;33502;40466;1436;34;0;0;0;0
neg;12516;0;0;0;0;0;21886;631842;571334;37374;0;0;0;562814;0;0;18438;28710;1067748;934368;253064;125588;0;0;0;0;0;0;0;0;0;0;0;0;0;496642;765794;0;3350;86;92;176;526;1138880;87336;31990;0;0;640298;208344;111408;71082;51016;36440;37116;49448;28502;28782;1339568;322;330;110;0;562814;25394;88740;163558;0;0;12244;6054;930;0;0;40540;6720;1649680;183096;0;0;0;0;11515480;419750;308190;133648;53830;92568;72416;70266;111176;592;0;0;0
neg;86240;0;0;0;0;0;0;16634;1371606;3317610;893382;49882;2058;2534762;0;0;54;254;5039070;4424498;822142;537228;0;0;0;0;432;126;0;0;0;0;0;86904;2577892;1119292;1867084;0;2960;1222;1732;131558;4465908;1047746;46;0;0;0;1716626;1238050;638814;585088;501942;379438;376764;214384;66;0;5862092;42;1990;862;24;2534762;60202;382962;435502;0;0;32514;113370;16926;0;0;134836;19050;491660;125654;0;0;0;0;19451110;708688;1070064;814318;411480;783304;689466;481154;285904;381200;25594;0;0
neg;4;0;0;0;0;0;0;64;60116;28048;12;0;0;47084;0;0;0;0;87630;74598;21182;5260;0;0;0;0;16;12;0;0;0;0;0;0;0;22616;65624;0;1494;88;88;92;180;85754;544;0;0;0;27570;17298;22332;12138;4088;2174;924;708;552;456;108898;20;36;32;0;47084;1148;8254;12500;0;0;878;20;4;0;0;1768;264;69180;11982;0;0;0;0;443050;15214;13688;3914;1268;3306;3238;9824;37778;10;0;0;0
neg;30694;0;0;0;0;0;0;1428;60474;1358772;458664;1640;0;941828;0;0;0;0;1730606;1595018;210252;105706;0;0;0;0;0;0;0;0;0;0;0;9282;537044;1317798;16854;0;3598;2206;3064;5514;879062;987426;106;2;0;0;742524;252016;164476;119500;94340;105370;191554;187748;23402;48;1941192;2;340;192;190;941828;21228;110286;99586;0;0;9938;18304;3486;0;0;79268;10116;3528000;436564;0;0;0;0;1120220;108942;397996;263700;121484;254138;293932;206036;121588;113156;6;0;0
neg;44840;0;0;0;0;0;0;1006;589058;2077048;437470;9312;0;1411706;0;11548;0;0;2740422;2286968;569766;351054;0;0;0;0;528;460;0;0;0;0;0;148676;1249744;941606;773868;0;3524;524;1190;100504;2419826;588174;152;0;0;0;1415158;557356;356014;266972;214648;267420;36326;0;0;0;3311044;0;70;2050;52;1411706;48760;292822;275140;0;0;26750;51358;8074;0;0;111960;17638;122460;98942;0;0;0;0;4839960;432684;677066;433544;219588;443084;317968;238726;154160;190452;6622;0;0
neg;32;0;0;0;0;0;0;3698;3978;2834;0;0;0;6936;0;0;0;0;28244;23684;34970;1370;0;0;0;0;28;344;0;0;0;0;0;0;0;0;10510;0;1128;18;18;18;34;1354;7940;0;0;0;6624;1562;550;442;250;236;510;150;66;120;63256;0;0;0;0;6936;304;32182;2316;0;0;318;0;0;4022;1872;258;108;9820;1098;41214;42;0;0;0;5950;2924;832;236;306;156;102;4;0;0;0;0
neg;756;0;0;0;0;0;0;106;60370;3952;0;0;0;31070;0;682;0;0;85522;76810;28334;2094;0;0;0;0;20;24;0;0;0;0;0;0;0;48218;16210;0;1514;124;136;470;650;61534;0;0;0;0;46672;11862;3706;1028;834;198;68;52;8;0;113948;38;30;78;0;31070;702;21728;6434;0;0;638;14;6;0;0;392;64;39280;4166;0;0;0;0;0;27976;4154;712;1010;2378;5794;20276;2108;20;0;0;0
neg;80068;0;0;0;0;6;12;19366;1058206;2991472;518528;26024;0;2143584;0;992;164;240;4264822;3699482;777496;459812;0;0;0;0;2556;938;0;0;0;0;0;303616;2127004;1905704;277290;0;4706;592;1114;1314;68430;4535044;2412;2;0;0;1484024;830562;363524;270694;227324;259690;1102496;75300;0;0;5043418;0;322;418;24;2143584;64292;462824;313414;0;0;40056;53696;24844;0;0;95826;28498;6515380;689898;0;0;0;0;9178470;746482;644566;459308;221172;414500;365072;291232;239314;859268;372700;0;0
neg;48600;na;na;0;0;0;2370;412508;2136658;1101244;72006;2130;0;1537290;0;302;16704;24470;3298240;3060838;793614;228580;na;0;0;0;na;na;0;0;0;0;0;0;3198;841810;2881908;0;5394;1202;1650;2100;3380;3713176;12;2;0;0;1178260;1345408;593810;264568;144332;109688;86922;3928;0;0;4109878;na;na;na;na;1537290;62680;414160;377892;na;na;19332;na;na;na;na;na;na;na;na;na;na;na;na;na;741832;937466;442746;129678;158816;166142;251490;896136;2432;178;na;na
neg;1216;0;0;0;0;0;0;4448;75614;2414;0;0;0;28752;0;0;136;404;88028;83056;14106;1568;0;0;0;0;42;42;0;0;0;0;0;0;330;33264;48882;0;426;32;32;914;148;80828;96;0;0;0;30846;11518;9590;10046;10232;4674;2424;2018;502;626;102344;50;46;32;0;28752;778;6522;7528;0;0;658;234;40;0;0;2292;360;137520;13972;0;0;0;0;215190;15514;14256;8548;3610;5970;5178;3674;25430;296;0;0;0
neg;35254;0;0;0;0;0;0;30598;979442;789472;120552;10400;1172;968192;0;0;0;0;1762966;1613032;303200;120532;0;0;0;0;328;108;0;0;0;0;0;0;6084;1001110;924442;0;2808;344;324;18498;44382;1790670;74610;0;0;0;738752;568242;207438;117300;76786;57294;45556;39312;25170;55786;2066414;692;1386;762;0;968192;21212;160216;141900;0;0;10554;6016;1654;2826020;483058;54604;8664;9980;2252;1826604;5092;0;0;15253200;237672;188624;130544;37404;84098;506536;168098;571092;7568;0;0;0
neg;10;0;0;0;0;0;0;1144;1998;1588;0;0;0;1592;0;0;118;236;4968;3966;4576;220;0;0;0;0;4;0;0;0;0;0;0;0;0;1588;3142;0;96;2;12;1354;256;2260;750;0;0;0;3076;306;162;202;68;584;126;160;20;26;9666;2;14;0;0;1592;92;3120;1446;0;0;100;0;0;1464;190;18;12;14400;1494;2882;36;0;0;0;3374;1016;198;46;52;32;12;0;0;0;0;0
neg;11572;0;0;0;0;0;0;272346;1208300;280120;20940;0;0;794230;0;0;3794;5686;1752498;1658112;159158;71502;0;0;0;0;0;0;0;0;0;0;0;0;0;105566;1676140;0;5922;1008;850;764;2044;1086250;684860;8;0;0;1052330;308284;137208;111202;56756;34530;23454;20076;10938;26928;1915990;40;76;392;410;794230;16618;66900;91606;0;0;8624;2316;270;0;0;48872;9340;1358520;507524;0;0;0;0;0;951334;273390;246058;90772;85754;28014;27874;78510;0;0;0;0
neg;2236;0;0;0;0;0;0;140;35502;104062;12796;46;0;58192;0;0;0;0;143346;123848;42394;13166;0;0;0;0;42;18;0;0;0;0;0;8708;114510;14892;14436;0;1136;72;122;310;39000;111894;12;0;0;0;70580;57886;14564;6572;1306;916;570;152;0;0;185814;2;16;110;0;58192;1900;26646;15418;0;0;1142;636;318;0;0;3650;704;316520;31702;0;0;0;0;1235110;24874;26852;12240;4550;8344;73686;1640;332;28;0;0;0
neg;12;0;0;0;0;0;0;44;1814;2360;0;0;0;1426;0;70;0;0;12900;11348;5298;60;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4218;0;1088;24;8;10;420;2668;0;0;0;0;2782;340;96;242;26;30;166;522;14;0;18226;2;4;0;0;1426;110;4176;1120;0;0;106;0;0;314;556;34;14;0;816;12344;18;0;0;0;2526;1348;32;34;188;90;0;0;0;0;0;0
neg;80480;0;0;0;0;0;0;0;0;0;0;0;0;2316568;0;0;0;0;4669334;4156402;613088;409546;0;0;0;0;1358;292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5283528;0;98;366;26;2316568;64682;312094;299048;0;0;37894;50456;24804;0;0;139144;34144;13206620;1399634;0;0;0;0;4175590;0;0;0;0;0;0;0;0;0;0;0;0
neg;1394;0;0;0;0;0;0;140;28448;57576;12400;0;0;41656;0;0;0;0;91926;80772;30220;7610;0;0;0;0;264;66;0;0;0;0;0;0;93944;4620;0;0;124;44;46;104;37028;61216;2;0;0;0;50918;19018;9242;6538;4924;3970;3238;696;20;0;122182;0;60;16;6;41656;1370;20130;10048;0;0;650;106;48;0;0;2226;1038;4540;644;52104;250;0;0;0;28754;23480;4648;1426;3138;1814;1790;1502;11362;20650;0;0
neg;87504;0;0;0;0;0;390;361634;2207132;2394010;761312;13752;0;2477082;0;0;6472;10714;5192568;4645006;895748;468478;0;0;0;0;468;1024;0;0;0;0;0;130344;3346356;1576650;684880;0;2466;336;878;43388;3398910;2282054;10198;0;0;0;2242004;1849496;842890;444828;238272;104926;15774;40;0;0;6095632;0;18;2058;16;2477082;67324;554886;333476;0;0;33552;88626;17352;0;0;181744;30896;1471640;235956;0;0;0;0;22400910;707540;829862;859104;600336;1238398;767736;404160;181700;148626;768;0;0
neg;18;0;0;0;0;0;0;18;3242;4192;392;0;0;2832;0;0;0;0;6640;1918;7102;1258;0;0;0;0;16;46;0;0;0;0;0;0;0;2270;5574;0;112;4;50;924;132;2062;4560;0;0;0;6156;434;138;100;122;200;524;90;10;70;13776;8;6;0;0;2832;216;3162;3786;0;0;276;0;0;0;0;0;0;0;0;5286;52;0;0;0;5116;2286;274;58;60;36;14;0;0;0;0;0
neg;41664;0;0;0;0;0;0;686;14344;1881036;717204;52556;3366;1260482;0;0;0;0;2191114;1706716;711454;419864;0;0;688;0;1006;398;0;0;0;0;0;62248;547186;2058704;1054;0;3060;1588;1536;1770;99288;2560832;1118;0;0;0;826174;721662;274868;184128;136174;110692;200074;215420;0;0;2903060;122;742;570;78;1260482;43698;329328;376912;0;0;30432;27718;10342;0;0;47432;10812;4011360;441750;9426;704;0;0;1664720;414834;556664;200442;96930;202430;220884;350014;233122;368468;25404;0;0
neg;69482;0;0;0;0;0;0;270;508180;2715688;786398;26138;692;1665234;0;0;0;0;3742190;3384290;639768;307784;0;0;0;0;260;302;0;0;0;0;0;33012;980252;2363320;660778;0;3198;916;1362;25354;2280770;1725354;408;0;0;0;1262664;1274572;462722;295884;200806;149730;202186;188796;0;0;4382426;1084;2154;836;0;1665234;35262;440082;195688;0;0;20004;42190;8216;0;0;94798;11502;19280;2674;0;0;0;0;29771020;330268;486520;433490;262348;1097464;833228;276282;113648;184162;19952;0;0
neg;1202;0;0;0;0;0;4292;83552;10054;4804;0;0;0;23388;0;31432;17240;27972;63632;36342;49670;3454;0;0;0;0;88;12;0;0;0;0;0;0;0;44572;58130;0;500;6;14;452;486;736;98412;1532;564;0;52066;21448;13500;7724;3828;1704;956;712;222;542;130654;2;12;56;8;23388;800;20390;28810;0;0;1434;28;26;20928;2868;880;264;112240;11236;118084;46;0;0;202060;40654;12070;2202;1962;4494;8220;6792;26220;88;0;0;0
neg;76;0;0;0;0;0;2546;10648;9320;4148;0;0;0;8454;0;0;3722;6650;19966;13632;22454;2686;0;0;0;0;108;20;0;0;0;0;0;0;0;20308;6354;0;2050;876;1870;2916;2218;16730;2;0;0;0;22586;1778;1054;488;118;38;40;504;52;4;46276;6;34;6;0;8454;484;11792;9636;0;0;786;0;0;1972;580;236;54;20360;2098;0;18;0;0;0;18134;5822;862;98;98;132;124;1392;0;0;0;0
neg;33590;0;0;0;0;0;0;2634;73036;1330714;809592;63968;11766;1069572;0;0;0;0;1906110;1473356;579298;375172;0;0;23796;0;1686;518;0;0;0;0;0;4112;802090;1485506;2;0;2376;2536;3346;284524;1785642;213270;16;0;0;0;641468;523152;210206;157532;132872;87806;129870;408804;0;0;2485912;126;82;3208;32;1069572;38936;268674;304812;0;0;23110;15160;2810;0;0;54134;14284;9140;962;0;0;0;0;1370640;343812;475378;325174;139778;251440;195618;201858;181460;169562;7630;0;0
